Sequence,Support,Relative Frequency
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {9 days}, {9 days}",6,0.5454545454545454
"{2. star. obd.}, {zelo malo}, {srednje}",6,0.5454545454545454
"{10 days, srednje}, {srednje}",7,0.6363636363636364
"{srednje}, {veliko}, {9 days}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {9 days}, {srednje}",6,0.5454545454545454
"{malo}, {srednje}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, srednje}, {veliko}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {10 days}, {srednje}",7,0.6363636363636364
"{malo}, {srednje}, {srednje}",6,0.5454545454545454
"{10 days}, {srednje}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",7,0.6363636363636364
"{veliko}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {zelo malo}",6,0.5454545454545454
"{veliko}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {veliko}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",6,0.5454545454545454
"{srednje}, {srednje}, {6 days}",6,0.5454545454545454
"{srednje}, {10 days}, {srednje}",7,0.6363636363636364
"{srednje}, {srednje}, {Okužba s Covid-19 pri učitelju}",6,0.5454545454545454
"{10 days, malo}, {zelo malo}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {srednje}, {9 days}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {Okužba s Covid-19 pri drugem strokovnem delavcu}, {9 days}",6,0.5454545454545454
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {veliko}, {9 days}",6,0.5454545454545454
"{srednje}, {srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",7,0.6363636363636364
"{Okužba s Covid-19 pri drugem strokovnem delavcu}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}, {zelo malo}",6,0.5454545454545454
