Sequence,Support,Relative Frequency
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}",3,1.0
"{OSNOVNA ŠOLA}, {srednje}, {veliko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {dolgo}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {veliko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {malo}",3,1.0
"{VRTEC}, {malo}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {dolgo}, {kratko}",3,1.0
"{SREDNJA ŠOLA}, {dolgo}, {kratko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {kratko}, {veliko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {dolgo}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {malo}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {SREDNJA ŠOLA}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {veliko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {VRTEC}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
"{SREDNJA ŠOLA}, {malo}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {veliko}",3,1.0
"{kratko}, {malo}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {kratko}, {srednje}",3,1.0
"{VRTEC}, {kratko}, {veliko}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}, {dolgo}",3,1.0
"{Okužba pri zaposlenem}, {dolgo}, {malo}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}, {malo}",3,1.0
"{SREDNJA ŠOLA}, {VRTEC}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}, {dolgo}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}, {malo}",3,1.0
"{Okužba pri zaposlenem}, {kratko}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {VRTEC}, {dolgo}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {kratko}, {veliko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {malo}, {srednje}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}, {VRTEC}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {srednje}, {veliko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {kratko}, {malo}",3,1.0
"{SREDNJA ŠOLA}, {VRTEC}, {kratko}",3,1.0
"{dolgo}, {malo}, {veliko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {VRTEC}, {veliko}",3,1.0
"{Sum na okužbo pri zaposlenem}, {malo}, {veliko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {dolgo}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {SREDNJA ŠOLA}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}",3,1.0
"{dolgo}, {kratko}, {malo}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}, {srednje}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {malo}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {VRTEC}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}",3,1.0
"{SREDNJA ŠOLA}, {VRTEC}, {dolgo}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Okužba pri zaposlenem}, {kratko}, {srednje}",3,1.0
"{Sum na okužbo pri zaposlenem}, {kratko}, {malo}, {srednje}",3,1.0
"{Sum na okužbo pri zaposlenem}, {VRTEC}, {kratko}, {veliko}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {dolgo}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}, {dolgo}, {srednje}",3,1.0
"{OSNOVNA ŠOLA}, {Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}, {veliko}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {VRTEC}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}, {srednje}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {VRTEC}, {dolgo}",3,1.0
"{OSNOVNA ŠOLA}, {Sum na okužbo pri zaposlenem}, {dolgo}, {kratko}",3,1.0
"{Okužba pri zaposlenem}, {SREDNJA ŠOLA}, {dolgo}, {kratko}",3,1.0
"{OSNOVNA ŠOLA}, {SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {VRTEC}, {kratko}",3,1.0
"{Okužba pri zaposlenem}, {Sum na okužbo pri zaposlenem}, {VRTEC}, {dolgo}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri zaposlenem}, {kratko}, {malo}",3,1.0
"{SREDNJA ŠOLA}, {Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {VRTEC}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {VRTEC}, {malo}, {srednje}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {Sum na okužbo pri otroku / učencu / dijaku}, {srednje}, {veliko}",3,1.0
"{Sum na okužbo pri otroku / učencu / dijaku}, {Sum na okužbo pri zaposlenem}, {VRTEC}, {kratko}",3,1.0
"{Okužba pri otroku / učencu / dijaku}, {VRTEC}, {kratko}, {malo}",3,1.0
